[REGIONS]
; - FACA_ACC_West
FACA_ACC_West 0 S036.59.59.972 E022.25.41.956
S026.38.33.972 E022.00.02.661
S026.38.59.226 E021.58.57.434
S026.39.23.651 E021.57.36.359
S026.40.02.276 E021.56.14.362
S026.40.14.062 E021.55.25.897
S026.40.25.020 E021.54.21.585
S026.40.21.746 E021.53.18.194
S026.40.17.614 E021.51.58.959
S026.40.13.463 E021.50.39.724
S026.40.10.131 E021.49.36.337
S026.40.05.953 E021.48.17.103
S026.40.31.044 E021.47.11.858
S026.41.26.247 E021.46.36.443
S026.42.22.286 E021.46.16.873
S026.43.07.456 E021.47.01.632
S026.44.05.972 E021.47.29.615
S026.45.46.267 E021.47.38.961
S026.46.28.886 E021.47.36.173
S026.47.24.868 E021.47.16.599
S026.48.17.479 E021.45.53.593
S026.48.59.236 E021.45.34.939
S026.49.39.304 E021.44.44.565
S026.50.17.675 E021.43.22.466
S026.50.56.873 E021.42.16.217
S026.51.21.850 E021.41.10.894
S026.51.46.819 E021.40.05.566
S026.51.52.468 E021.38.22.661
S026.51.35.104 E021.37.06.700
S026.50.44.728 E021.36.06.621
S026.50.26.647 E021.34.48.565
S026.50.57.237 E021.33.36.247
S026.50.40.712 E021.32.25.491
S026.51.29.281 E021.31.46.198
S026.51.17.701 E021.30.29.455
S026.50.40.889 E021.29.19.822
S026.50.22.413 E021.28.19.949
S026.50.06.901 E021.27.24.548
S026.49.35.112 E021.26.12.417
S026.49.24.273 E021.24.52.216
S026.49.27.145 E021.23.47.474
S026.49.35.367 E021.23.10.980
S026.49.51.429 E021.22.08.093
S026.49.33.011 E021.20.54.316
S026.49.43.926 E021.19.46.826
S026.50.44.044 E021.18.39.462
S026.50.51.369 E021.17.15.379
S026.50.19.962 E021.15.42.200
S026.50.42.534 E021.14.14.282
S026.50.41.389 E021.12.47.739
S026.51.08.595 E021.11.37.925
S026.51.55.014 E021.10.35.159
S026.51.55.346 E021.09.37.393
S026.52.16.848 E021.08.13.014
S026.49.27.025 E021.01.36.061
S027.29.59.947 E020.59.60.000
S027.29.59.734 E019.54.38.985
S027.30.00.496 E015.00.00.135
S030.30.00.908 E015.00.00.133
S030.30.25.004 E021.16.21.071
S027.59.00.975 E024.21.35.172
S027.02.15.387 E025.26.52.433
S025.49.33.170 E025.32.06.201
S025.47.56.283 E025.20.19.753
S025.45.33.081 E025.21.41.622
; - FAJA_ACC_Central
FAJA_ACC_Central 0 S030.30.25.004 E021.16.21.071
S031.19.49.022 E023.45.58.155
S030.55.44.583 E025.59.53.347
S028.00.22.991 E027.45.55.030
S028.01.07.009 E027.30.39.999
S027.59.01.737 E024.21.34.761
; - FAJA_ACC_East
FAJA_ACC_East 0 S026.50.51.714 E032.15.47.280
S026.50.09.718 E032.13.03.850
S026.51.45.123 E032.10.14.605
S026.50.22.814 E032.08.09.442
S026.48.35.266 E032.04.17.600
S027.20.30.890 E031.52.22.080
S027.18.08.724 E031.10.05.038
S027.57.58.511 E029.10.19.736
S028.00.23.040 E027.45.55.042
S030.55.44.488 E025.59.53.498
S030.28.25.186 E028.17.17.997
S031.36.31.260 E029.31.11.491
S033.00.00.062 E032.00.00.509
S027.50.00.402 E035.00.00.203
S026.50.29.899 E032.53.50.276
S026.52.00.352 E032.22.45.153
; - FAJA_ACC_N
FAJA_ACC_N 0 S023.28.22.489 E027.16.39.821
S023.28.28.157 E027.16.30.841
S023.28.30.991 E027.16.26.351
S023.28.37.295 E027.16.21.156
S023.28.36.458 E027.16.11.931
S023.28.35.186 E027.16.04.351
S023.28.32.391 E027.15.56.311
S023.28.29.157 E027.15.49.926
S023.28.23.092 E027.15.48.026
S023.28.22.257 E027.15.38.798
S023.28.25.529 E027.15.32.655
S023.28.32.710 E027.15.24.153
S023.28.36.420 E027.15.16.356
S023.28.42.080 E027.15.07.388
S023.28.44.910 E027.15.02.903
S023.28.46.664 E027.14.56.288
S023.28.48.855 E027.14.48.019
S023.28.52.561 E027.14.40.229
