[REGIONS]
; - FABE_CTR
S033.03.36.541 E018.12.02.668
S033.03.26.040 E018.12.31.003
S033.03.13.355 E018.12.58.442
S033.02.59.071 E018.13.24.479
S033.02.41.751 E018.13.48.970
S033.02.24.322 E018.14.12.072
S033.02.04.076 E018.14.32.159
S033.01.42.518 E018.14.50.158
S033.01.20.160 E018.15.06.660
S033.00.56.873 E018.15.19.921
S033.00.32.373 E018.15.30.862
S033.00.07.341 E018.15.39.979
S032.59.41.252 E018.15.46.325
S032.59.15.351 E018.15.49.045
S032.58.49.009 E018.15.49.797
S032.58.22.253 E018.15.47.884
S032.57.56.956 E018.15.42.499
S032.57.30.804 E018.15.34.783
S032.57.06.614 E018.15.24.524
S032.56.42.415 E018.15.11.653
S032.56.19.858 E018.14.56.437
S032.55.57.747 E018.14.39.219
S032.55.37.596 E018.14.19.579
S032.55.18.262 E018.13.58.142
S032.55.01.424 E018.13.33.933
S032.54.45.941 E018.13.08.710
S032.54.32.609 E018.12.42.322
S032.54.20.954 E018.12.13.970
S032.54.11.378 E018.11.44.540
S032.54.04.572 E018.11.14.614
S032.53.59.632 E018.10.43.895
S032.53.57.061 E018.10.12.982
S032.53.56.404 E018.09.41.094
S032.53.58.524 E018.09.09.679
S032.54.02.490 E018.08.39.386
S032.54.08.593 E018.08.09.245
S032.54.17.233 E018.07.39.721
S032.54.27.630 E018.07.11.306
S032.54.40.331 E018.06.43.733
S032.54.55.184 E018.06.18.106
S032.55.11.864 E018.05.53.657
S032.55.29.952 E018.05.30.803
S032.55.49.770 E018.05.10.729
S032.56.10.882 E018.04.51.758
S032.56.33.791 E018.04.35.948
S032.56.57.012 E018.04.22.026
S032.57.21.684 E018.04.10.880
S032.57.46.979 E018.04.02.273
; - FAMM_ATZ
FAMM_ATZ 16711680 
S025.46.46.175 E025.27.29.627
S025.47.08.497 E025.27.14.433
S025.47.31.847 E025.27.01.278
S025.47.56.335 E025.26.51.006
S025.48.21.560 E025.26.42.720
S025.48.46.934 E025.26.37.164
S025.49.13.065 E025.26.33.492
S025.49.39.103 E025.26.32.836
S025.50.05.499 E025.26.35.057
S025.50.31.107 E025.26.39.125
S025.50.56.683 E025.26.46.301
S025.51.21.141 E025.26.54.983
S025.51.45.390 E025.27.07.071
S025.52.08.495 E025.27.20.858
S025.52.30.045 E025.27.36.969
S025.52.50.747 E025.27.55.395
S025.53.09.671 E025.28.14.945
S025.53.26.583 E025.28.36.906
S025.53.42.489 E025.29.00.707
S025.53.56.412 E025.29.25.554
S025.54.07.660 E025.29.51.657
S025.54.17.435 E025.30.18.578
S025.54.24.610 E025.30.46.848
S025.54.29.630 E025.31.15.382
S025.54.32.412 E025.31.44.339
S025.54.33.084 E025.32.13.387
S025.54.31.639 E025.32.42.593
S025.54.27.846 E025.33.10.567
S025.54.21.266 E025.33.39.532
S025.54.12.743 E025.34.06.883
S025.54.02.504 E025.34.33.415
S025.53.49.944 E025.34.59.176
S025.53.35.569 E025.35.23.125
S025.53.19.030 E025.35.46.257
S025.53.00.473 E025.36.06.818
S025.52.41.086 E025.36.26.106
S025.52.20.157 E025.36.43.249
S025.51.58.118 E025.36.58.562
S025.51.34.815 E025.37.11.654
S025.51.10.352 E025.37.21.944
S025.50.44.804 E025.37.30.143
S025.50.19.415 E025.37.35.706
S025.49.53.631 E025.37.39.394
S025.49.27.207 E025.37.40.261
S025.49.01.167 E025.37.37.301
S025.48.35.145 E025.37.33.484
S025.48.09.811 E025.37.26.643
S025.47.44.816 E025.37.17.222
S025.47.21.079 E025.37.05.663
S025.46.57.639 E025.36.52.154
S025.46.36.168 E025.36.35.650
S025.46.16.116 E025.36.17.082
S025.45.56.889 E025.35.57.053
S025.45.39.601 E025.35.35.170
S025.45.24.072 E025.35.12.021
S025.45.10.349 E025.34.47.229
S025.44.58.878 E025.34.21.088
S025.44.48.959 E025.33.54.188
S025.44.42.120 E025.33.26.018
S025.44.36.701 E025.32.57.616
S025.44.33.479 E025.32.28.711
S025.44.33.145 E025.31.59.242
S025.44.34.823 E025.31.30.409
S025.44.38.771 E025.31.01.845
S025.44.45.020 E025.30.33.314
S025.44.53.006 E025.30.05.875
S025.45.03.994 E025.29.39.536
S025.45.16.322 E025.29.13.884
S025.45.30.960 E025.28.49.839
S025.45.47.056 E025.28.26.654
S025.46.05.504 E025.28.06.017
S025.46.25.156 E025.27.46.820
; - FALW_CTR
S032.51.00.071 E018.02.38.311
S032.51.32.280 E018.01.50.657
S032.52.10.065 E018.01.06.698
S032.52.49.813 E018.00.26.062
S032.53.32.398 E017.59.50.772
S032.54.17.997 E017.59.18.877
S032.55.05.311 E017.58.52.583
